,Car_Name,Company,Year,Kms_Driven,Fuel_Type,Price
0, Hyundai Santro Xing,Hyundai,2007,45000,Petrol,80000
1, Mahindra Jeep CL550,Mahindra,2006,40,Diesel,425000
3, Hyundai Grand i10,Hyundai,2014,28000,Petrol,325000
4, Ford EcoSport Titanium,Ford,2014,36000,Diesel,575000
6, Ford Figo,Ford,2012,41000,Diesel,175000
7, Hyundai Eon,Hyundai,2013,25000,Petrol,190000
8, Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000
9, Maruti Suzuki Alto,Maruti,2015,60000,Petrol,250000
10, Skoda Fabia Classic,Skoda,2010,60000,Petrol,182000
11, Maruti Suzuki Stingray,Maruti,2015,30000,Petrol,315000
12, Hyundai Elite i20,Hyundai,2014,32000,Petrol,415000
13, Mahindra Scorpio SLE,Mahindra,2015,48660,Diesel,320000
14, Hyundai Santro Xing,Hyundai,2007,45000,Petrol,80000
15, Mahindra Jeep CL550,Mahindra,2006,40,Diesel,425000
16, Audi A8,Audi,2017,4000,Petrol,1000000
17, Audi Q7,Audi,2014,16934,Diesel,500000
18, Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000
19, Maruti Suzuki Alto,Maruti,2014,35550,Petrol,160000
20, Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000
21, Mahindra Scorpio S10,Mahindra,2016,39522,Diesel,310000
22, Maruti Suzuki Alto,Maruti,2015,39000,Petrol,75000
23, Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000
24, Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000
25, Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000
26, Maruti Suzuki Alto,Maruti,2017,72000,Petrol,190000
27, Maruti Suzuki Vitara,Maruti,2016,15975,Diesel,290000
28, Maruti Suzuki Alto,Maruti,2008,70000,Petrol,95000
29, Mahindra Bolero DI,Mahindra,2017,23452,Diesel,180000
30, Maruti Suzuki Swift,Maruti,2014,35522,Diesel,385000
31, Mahindra Scorpio S10,Mahindra,2015,48508,Diesel,250000
32, Maruti Suzuki Swift,Maruti,2017,15487,Petrol,180000
33, Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
34, Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
35, Toyota Innova 2.0,Toyota,2012,82000,Diesel,650000
36, Renault Lodgy 85,Renault,2018,20000,Diesel,689999
37, Skoda Yeti Ambition,Skoda,2012,68000,Diesel,448000
38, Maruti Suzuki Baleno,Maruti,2017,32000,Diesel,549000
39, Renault Duster 110,Renault,2012,38000,Diesel,501000
40, Renault Duster 85,Renault,2013,27000,Diesel,489999
41, Honda City 1.5,Honda,2011,33000,Petrol,280000
42, Maruti Suzuki Alto,Maruti,2015,60000,Petrol,250000
43, Maruti Suzuki Dzire,Maruti,2013,46000,Diesel,349999
44, Honda Amaze,Honda,2013,46000,Diesel,284999
45, Honda Amaze 1.5,Honda,2015,36000,Diesel,345000
46, Honda City,Honda,2015,55000,Petrol,499999
47, Datsun Redi GO,Datsun,2017,16000,Petrol,235000
48, Maruti Suzuki SX4,Maruti,2010,36000,Petrol,249999
49, Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000
50, Mahindra Bolero DI,Mahindra,2017,23452,Diesel,180000
51, Maruti Suzuki Swift,Maruti,2014,35522,Diesel,385000
52, Mahindra Scorpio S10,Mahindra,2015,48508,Diesel,250000
53, Maruti Suzuki Swift,Maruti,2017,15487,Petrol,180000
54, Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
55, Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
56, Mahindra Scorpio S10,Mahindra,2015,35000,Diesel,395000
57, Maruti Suzuki Swift,Maruti,2017,30874,Petrol,220000
58, Honda City ZX,Honda,2017,15000,Diesel,170000
59, Maruti Suzuki Wagon,Maruti,2013,29685,Petrol,85000
60, Ford Figo,Ford,2012,41000,Diesel,175000
61, Hyundai Eon,Hyundai,2013,25000,Petrol,190000
62, Tata Indigo eCS,Tata,2017,130000,Diesel,200000
63, Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000
64, Tata Indigo eCS,Tata,2017,130000,Diesel,200000
65, Mahindra Scorpio SLE,Mahindra,2012,19000,Diesel,570000
66, Volkswagen Polo Highline,Volkswagen,2014,60000,Petrol,315000
67, Skoda Fabia Classic,Skoda,2010,60000,Petrol,182000
68, Maruti Suzuki Stingray,Maruti,2015,30000,Petrol,315000
70, Chevrolet Spark LS,Chevrolet,2010,41000,Petrol,110000
71, Renault Duster 110PS,Renault,2012,35000,Diesel,501000
72, Honda City,Honda,2015,54000,Petrol,448999
73, Mini Cooper S,Mini,2013,13000,Petrol,1891111
74, Datsun Redi GO,Datsun,2017,16000,Petrol,235000
75, Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
76, Honda Amaze,Honda,2015,22000,Petrol,344999
77, Honda Amaze,Honda,2015,22000,Petrol,344999
78, Renault Duster,Renault,2014,50000,Diesel,449999
79, Mini Cooper S,Mini,2013,13500,Petrol,1891111
80, Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,865000
81, Mahindra Scorpio VLX,Mahindra,2014,50000,Diesel,699000
82, Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
83, Ford EcoSport,Ford,2017,39000,Petrol,489999
84, Honda Brio,Honda,2012,30000,Petrol,224999
86, Volkswagen Vento Highline,Volkswagen,2019,3600,Diesel,1200000
87, Hyundai i20 Magna,Hyundai,2009,32000,Petrol,195000
88, Toyota Corolla Altis,Toyota,2010,38000,Diesel,351000
89, Hyundai Verna Transform,Hyundai,2008,45000,Petrol,160000
90, Toyota Corolla Altis,Toyota,2009,35000,Petrol,240000
91, Honda City 1.5,Honda,2005,50000,Petrol,90000
92, Hyundai Elite i20,Hyundai,2014,32000,Petrol,415000
93, Skoda Fabia 1.2L,Skoda,2011,45863,Diesel,155000
94, BMW 3 Series,BMW,2011,60500,Petrol,600000
95, Maruti Suzuki A,Maruti,2011,12500,Petrol,189500
96, Toyota Etios GD,Toyota,2013,60000,Diesel,350000
97, Ford Figo Diesel,Ford,2012,35000,Diesel,210000
98, Maruti Suzuki Swift,Maruti,2014,35000,Petrol,390000
99, Chevrolet Beat LT,Chevrolet,2012,45000,Diesel,135000
100, BMW 7 Series,BMW,2009,35000,Petrol,1600000
101, Mahindra XUV500 W8,Mahindra,2013,38000,Diesel,701000
102, Hyundai i10 Magna,Hyundai,2014,18000,Petrol,265000
103, Hyundai Verna Fluidic,Hyundai,2015,35000,Diesel,525000
104, Maruti Suzuki Swift,Maruti,2013,13349,Petrol,372000
105, Maruti Suzuki Ertiga,Maruti,2016,29000,Petrol,635000
106, Ford EcoSport Titanium,Ford,2014,44000,Diesel,550000
107, Maruti Suzuki Ertiga,Maruti,2016,29000,Petrol,575000
108, Maruti Suzuki Ertiga,Maruti,2013,42000,Diesel,485000
109, Maruti Suzuki Alto,Maruti,2012,14000,Petrol,155000
110, Hyundai Grand i10,Hyundai,2014,49000,Diesel,345000
111, Honda Amaze 1.2,Honda,2014,42000,Petrol,325000
112, Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500
113, Ford Figo Diesel,Ford,2014,50000,Diesel,195000
114, Maruti Suzuki Eeco,Maruti,2015,55000,Petrol,251111
115, Maruti Suzuki Ertiga,Maruti,2014,45000,Petrol,569999
116, Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999
117, Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999
118, Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000
119, Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999
120, Maruti Suzuki Swift,Maruti,2013,13349,Petrol,372000
121, Maruti Suzuki Dzire,Maruti,2015,104000,Diesel,450000
122, Toyota Etios Liva,Toyota,2014,55000,Petrol,270000
123, Hyundai i20 Sportz,Hyundai,2011,33333,Diesel,350000
124, Chevrolet Spark,Chevrolet,2012,33600,Petrol,158400
125, Maruti Suzuki Alto,Maruti,2017,5600,Petrol,350000
126, Nissan Micra XV,Nissan,2011,41000,Petrol,179000
127, Maruti Suzuki Swift,Maruti,2007,70000,Petrol,125000
128, Maruti Suzuki Alto,Maruti,2018,7500,Petrol,200000
129, Honda Amaze 1.5,Honda,2013,45000,Diesel,299000
130, Maruti Suzuki Alto,Maruti,2015,38000,Petrol,220000
131, Chevrolet Beat,Chevrolet,2015,30000,Petrol,150000
133, Honda City 1.5,Honda,2010,35000,Petrol,285000
134, Ford EcoSport Trend,Ford,2016,24330,Diesel,830000
135, Hyundai i20 Asta,Hyundai,2009,65480,Petrol,210000
136, Maruti Suzuki Swift,Maruti,2013,41000,Petrol,340000
137, Tata Indica V2,Tata,2006,20000,Petrol,90000
139, Hindustan Motors Ambassador,Hindustan,2000,200000,Diesel,70000
140, Toyota Corolla Altis,Toyota,2010,70000,Petrol,289999
141, Toyota Corolla Altis,Toyota,2012,59000,Petrol,349999
142, Toyota Innova 2.5,Toyota,2012,99000,Diesel,849999
143, Volkswagen Jetta Highline,Volkswagen,2014,46000,Diesel,749999
144, Volkswagen Polo Comfortline,Volkswagen,2015,2800,Petrol,399999
145, Volkswagen Polo,Volkswagen,2014,32000,Petrol,274999
146, Mahindra Scorpio,Mahindra,2015,22000,Diesel,984999
147, Renault Duster,Renault,2014,50000,Diesel,449999
148, Honda Amaze,Honda,2015,22000,Petrol,344999
149, Nissan Sunny,Nissan,2012,45000,Petrol,224999
150, Hyundai Elite i20,Hyundai,2018,21000,Petrol,599999
151, Renault Kwid,Renault,2016,11000,Petrol,244999
152, Renault Duster,Renault,2013,41000,Diesel,399999
153, Ford EcoSport,Ford,2017,39000,Petrol,489999
154, Renault Duster,Renault,2014,50000,Diesel,474999
155, Mahindra Scorpio VLX,Mahindra,2011,66000,Diesel,499999
156, Maruti Suzuki Alto,Maruti,2018,3000,Petrol,310000
157, Chevrolet Spark LT,Chevrolet,2010,45000,Petrol,85000
158, Datsun Redi GO,Datsun,2016,7000,Petrol,245000
159, Maruti Suzuki Swift,Maruti,2010,38500,Diesel,189500
160, Fiat Punto Emotion,Fiat,2012,37200,Diesel,169500
161, Maruti Suzuki Swift,Maruti,2010,43200,Diesel,159500
162, Toyota Etios GD,Toyota,2013,24800,Petrol,275000
163, Hyundai i20 Sportz,Hyundai,2014,60000,Diesel,370000
164, Hyundai i10 Sportz,Hyundai,2010,45872,Petrol,168000
165, Chevrolet Beat LT,Chevrolet,2011,40000,Diesel,150000
166, Chevrolet Beat LS,Chevrolet,2011,45000,Diesel,145000
167, Chevrolet Beat LT,Chevrolet,2012,38000,Diesel,98500
168, Mahindra Scorpio VLX,Mahindra,2014,50000,Diesel,699000
169, Tata Indigo CS,Tata,2011,11400,Diesel,85000
170, Toyota Corolla Altis,Toyota,2015,42000,Petrol,575000
171, Honda City 1.5,Honda,2014,39000,Petrol,549000
172, Maruti Suzuki Swift,Maruti,2011,47000,Diesel,209000
173, Hyundai Eon Era,Hyundai,2013,27000,Petrol,185000
174, Mahindra Scorpio S10,Mahindra,2015,97200,Diesel,900000
175, Mahindra XUV500,Mahindra,2014,52000,Diesel,699999
176, Honda Brio,Honda,2012,30000,Petrol,224999
177, Ford Fiesta,Ford,2011,55000,Diesel,274999
178, Honda Amaze,Honda,2013,46000,Diesel,284999
179, Honda City,Honda,2015,30000,Diesel,599999
180, Maruti Suzuki Wagon,Maruti,2012,44000,Petrol,199999
181, Honda City,Honda,2014,45000,Diesel,544999
182, Hyundai i20,Hyundai,2009,31000,Petrol,199000
183, Tata Indigo eCS,Tata,2016,175430,Diesel,320000
184, Hyundai Fluidic Verna,Hyundai,2015,38000,Diesel,540000
186, Mahindra Quanto C8,Mahindra,2013,37000,Diesel,340000
187, Fiat Petra ELX,Fiat,2008,65000,Petrol,75000
188, Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
189, Mini Cooper S,Mini,2013,13000,Petrol,1891111
190, Hyundai Santro Xing,Hyundai,2005,7500,Petrol,49000
191, Maruti Suzuki Ciaz,Maruti,2016,3350,Petrol,700000
192, Maruti Suzuki Zen,Maruti,2000,60000,Petrol,55000
193, Honda City,Honda,2015,54000,Petrol,448999
194, Hyundai Creta 1.6,Hyundai,2017,32000,Petrol,895000
196, Mahindra Scorpio SLX,Mahindra,2007,75000,Diesel,355000
197, Mahindra Scorpio SLE,Mahindra,2012,62000,Diesel,565000
198, Toyota Innova 2.5,Toyota,2006,73000,Diesel,365000
199, Maruti Suzuki Alto,Maruti,2011,41000,Petrol,145000
200, Maruti Suzuki Wagon,Maruti,2011,35000,Petrol,210000
201, Tata Nano Cx,Tata,2013,2200,Petrol,40000
202, Maruti Suzuki Alto,Maruti,2013,39000,Petrol,125000
203, Maruti Suzuki Wagon,Maruti,2009,45000,Petrol,135000
204, Maruti Suzuki Swift,Maruti,2006,45000,Petrol,135000
205, Tata Sumo Victa,Tata,2012,65000,Diesel,285000
207, Maruti Suzuki Wagon,Maruti,2010,54870,Petrol,145000
208, Maruti Suzuki Alto,Maruti,2010,34580,Petrol,135000
209, Volkswagen Passat Diesel,Volkswagen,2009,97000,Diesel,450000
210, Renault Scala RxL,Renault,2015,25000,Diesel,375000
211, Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
212, Hyundai Grand i10,Hyundai,2014,20000,Petrol,365000
213, Hyundai i20 Active,Hyundai,2015,18000,Petrol,500000
214, Mahindra Xylo E4,Mahindra,2012,35000,Diesel,400000
215, Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000
216, Renault Duster 110PS,Renault,2012,35000,Diesel,501000
217, Mahindra Bolero SLE,Mahindra,2013,80200,Diesel,330000
218, Force Motors Force,Force,2015,3200,Diesel,580000
219, Maruti Suzuki SX4,Maruti,2012,46000,Diesel,265000
220, Mahindra Jeep CL550,Mahindra,2019,0,Diesel,379000
221, Maruti Suzuki Alto,Maruti,2015,5000,Petrol,219000
222, Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000
223, Toyota Etios,Toyota,2011,36000,Diesel,275000
224, Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000
225, Honda City ZX,Honda,2008,45000,Petrol,110000
226, Maruti Suzuki Wagon,Maruti,2006,71200,Petrol,80000
227, Honda City VX,Honda,2016,52000,Diesel,519000
228, Mahindra Thar CRDe,Mahindra,2016,29000,Diesel,730000
229, Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000
230, Audi A4 1.8,Audi,2009,47000,Petrol,699000
231, Mercedes Benz GLA,Mercedes,2015,20000,Diesel,2000000
232, Land Rover Freelander,Land,2015,30000,Diesel,2100000
233, Renault Kwid RXT,Renault,2017,5000,Petrol,340000
234, Tata Aria Pleasure,Tata,2014,35000,Diesel,390000
235, Mercedes Benz B,Mercedes,2014,31000,Petrol,1400000
236, Datsun GO T,Datsun,2016,7000,Petrol,245000
237, Tata Indigo eCS,Tata,2016,175430,Diesel,320000
238, Tata Indigo eCS,Tata,2016,175400,Diesel,320000
239, Honda Jazz VX,Honda,2016,41000,Petrol,450000
240, Honda Amaze 1.2,Honda,2014,33000,Petrol,311000
241, Honda Amaze,Honda,2013,46000,Diesel,284999
242, Honda City,Honda,2012,45000,Petrol,399999
243, Honda City,Honda,2015,39000,Diesel,599999
244, Honda Amaze,Honda,2015,22000,Petrol,344999
245, Audi A4 1.8,Audi,2009,47000,Petrol,699000
246, Force Motors Force,Force,2015,3200,Diesel,580000
247, Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,855000
248, Hyundai i20 Active,Hyundai,2015,37000,Diesel,535000
249, Mini Cooper S,Mini,2013,13000,Petrol,1891111
250, Maruti Suzuki Ciaz,Maruti,2017,14000,Petrol,699000
251, Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000
252, Honda Amaze,Honda,2013,46000,Diesel,284999
253, Hyundai Eon Sportz,Hyundai,2012,30000,Petrol,178000
254, Tata Sumo Gold,Tata,2013,50000,Diesel,300000
255, Maruti Suzuki Wagon,Maruti,2003,45000,Petrol,90000
256, Maruti Suzuki Esteem,Maruti,2006,45000,Petrol,95000
257, Maruti Suzuki Eeco,Maruti,2015,9300,Petrol,255000
258, Chevrolet Enjoy 1.4,Chevrolet,2013,55000,Diesel,245000
259, Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500
260, Ford Figo Diesel,Ford,2014,50000,Diesel,195000
261, Maruti Suzuki Eeco,Maruti,2015,55000,Petrol,251111
262, Maruti Suzuki Ertiga,Maruti,2014,45000,Petrol,569999
263, Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999
264, Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999
265, Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000
266, Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999
267, Maruti Suzuki SX4,Maruti,2010,36000,Petrol,249999
268, Maruti Suzuki Wagon,Maruti,2015,22000,Petrol,289999
269, Mini Cooper S,Mini,2013,13500,Petrol,1891111
270, Nissan Terrano XL,Nissan,2015,60000,Diesel,499999
271, Renault Duster 85,Renault,2013,27000,Diesel,489999
272, Renault Duster 85,Renault,2014,59000,Diesel,489999
273, Renault Duster 85,Renault,2015,19000,Diesel,549999
274, Maruti Suzuki Dzire,Maruti,2013,30000,Petrol,380000
275, Renault Kwid RXT,Renault,2018,15000,Petrol,325000
276, Maruti Suzuki Maruti,Maruti,2003,56758,Petrol,57000
277, Renault Kwid 1.0,Renault,2018,10000,Petrol,349999
278, Renault Lodgy 85,Renault,2018,20000,Diesel,689999
279, Renault Scala RxL,Renault,2014,49000,Diesel,349999
280, Hyundai Grand i10,Hyundai,2014,41000,Petrol,410000
