,Car_Name,Company,Year,Kms_Driven,Fuel_Type,Price
573, Chevrolet Enjoy,Chevrolet,2014,30201,Diesel,490000
574, Maruti Suzuki Alto,Maruti,2017,6200,Petrol,280000
575, BMW 5 Series,BMW,2009,37518,Petrol,650000
576, Toyota Etios Liva,Toyota,2014,24652,Petrol,160000
577, Mahindra Jeep MM,Mahindra,2004,383,Diesel,424000
578, Chevrolet Beat LS,Chevrolet,2016,95000,Diesel,225000
579, Chevrolet Cruze LTZ,Chevrolet,2011,35000,Diesel,350000
580, Jeep Wrangler Unlimited,Jeep,2015,3528,Diesel,950000
581, Maruti Suzuki Ertiga,Maruti,2013,52500,Diesel,485000
582, Hyundai Verna VGT,Hyundai,2010,47900,Diesel,205000
583, Maruti Suzuki Omni,Maruti,2012,14000,Petrol,160000
584, Maruti Suzuki Celerio,Maruti,2018,37000,Petrol,310000
585, Tata Zest Quadrajet,Tata,2017,90000,Diesel,180000
586, Mahindra XUV500 W6,Mahindra,2013,52800,Diesel,549900
587, Tata Indigo CS,Tata,2016,104000,Diesel,150000
588, Hyundai i10 Era,Hyundai,2011,30000,Petrol,175000
589, Tata Indigo eCS,Tata,2014,195000,Diesel,95000
590, Tata Indigo LX,Tata,2016,104000,Diesel,230000
591, Tata Indigo eCS,Tata,2016,104000,Diesel,230000
592, Tata Indigo Marina,Tata,2004,70000,Diesel,180000
594, Hyundai Xcent SX,Hyundai,2015,43000,Diesel,400000
595, Hyundai Eon Magna,Hyundai,2013,23000,Petrol,185000
596, Renault Duster 85,Renault,2015,51000,Diesel,385000
597, Maruti Suzuki Alto,Maruti,2009,62000,Petrol,90000
598, Tata Nano LX,Tata,2010,48008,Petrol,32000
600, Renault Duster 110,Renault,2013,39000,Diesel,435000
601, Maruti Suzuki Wagon,Maruti,2010,40000,Petrol,225000
602, Maruti Suzuki Swift,Maruti,2006,48247,Petrol,189700
603, Maruti Suzuki Ertiga,Maruti,2012,39000,Diesel,389700
604, Maruti Suzuki Swift,Maruti,2014,23000,Petrol,365000
605, Maruti Suzuki Alto,Maruti,2017,9400,Petrol,360000
606, Hyundai i20 Magna,Hyundai,2010,50000,Petrol,210000
607, Hyundai i10 Magna,Hyundai,2009,75000,Petrol,170000
609, Tata Zest XE,Tata,2017,70000,Diesel,380000
610, Mahindra Xylo E8,Mahindra,2009,64000,Diesel,295000
611, Toyota Corolla Altis,Toyota,2010,55000,Petrol,185000
612, Tata Manza Aqua,Tata,2014,200000,Diesel,160000
615, Renault Kwid 1.0,Renault,2018,2137,Petrol,290000
617, Tata Venture EX,Tata,2013,30000,Diesel,100000
618, Maruti Suzuki Swift,Maruti,2014,44000,Petrol,315000
620, Skoda Octavia Classic,Skoda,2006,65000,Diesel,114990
621, Maruti Suzuki Omni,Maruti,2012,160000,LPG,120000
622, Chevrolet Beat Diesel,Chevrolet,2011,56000,Diesel,125000
623, Tata Sumo Gold,Tata,2012,75000,Diesel,210000
625, Hyundai Verna 1.6,Hyundai,2018,42000,Diesel,855000
626, Tata Sumo Gold,Tata,2012,75000,Diesel,210000
627, Mahindra Scorpio 2.6,Mahindra,2007,56000,Diesel,260000
628, Maruti Suzuki Zen,Maruti,2002,10544,Petrol,95000
629, Maruti Suzuki Swift,Maruti,2011,64000,Petrol,255000
630, Mahindra Scorpio SLX,Mahindra,2008,70000,Diesel,300000
631, Hyundai Grand i10,Hyundai,2014,25000,Petrol,340000
632, Hyundai Elite i20,Hyundai,2017,15000,Petrol,550000
633, Ford Ikon 1.6,Ford,2003,50000,Petrol,60000
636, Toyota Innova 2.5,Toyota,2011,147000,Diesel,750000
637, Nissan Sunny XL,Nissan,2011,52000,Petrol,230000
638, Chevrolet Beat LT,Chevrolet,2012,90001,Diesel,130000
639, Maruti Suzuki Alto,Maruti,2017,21000,Petrol,270000
640, Maruti Suzuki Swift,Maruti,2012,48006,Diesel,280000
641, Maruti Suzuki Swift,Maruti,2012,48006,Diesel,280000
642, Maruti Suzuki Swift,Maruti,2012,48006,Diesel,280000
644, Toyota Innova 2.0,Toyota,2012,80000,Diesel,600000
646, Maruti Suzuki Swift,Maruti,2010,74000,Diesel,190000
647, Hyundai Elite i20,Hyundai,2015,22000,Petrol,500000
648, Mahindra XUV500 W10,Mahindra,2016,41000,Diesel,1065000
649, Volkswagen Polo Trendline,Volkswagen,2015,25000,Diesel,350000
650, Toyota Etios Liva,Toyota,2012,85000,Diesel,350000
651, Mahindra TUV300 T4,Mahindra,2016,29500,Diesel,540000
652, Hyundai Elite i20,Hyundai,2015,30000,Petrol,470000
653, Hyundai Santro Xing,Hyundai,2014,57000,Petrol,179000
654, Maruti Suzuki Zen,Maruti,2003,60000,Petrol,48000
655, Maruti Suzuki Ciaz,Maruti,2016,50000,Petrol,650000
656, Hyundai Eon Era,Hyundai,2013,39700,Petrol,190000
657, Hyundai Elantra 1.8,Hyundai,2012,65000,Petrol,500000
658, Maruti Suzuki Swift,Maruti,2010,67000,Diesel,270000
659, Maruti Suzuki Zen,Maruti,2008,46000,Petrol,125000
660, Hyundai Eon Era,Hyundai,2012,38000,Petrol,188000
661, Hyundai Grand i10,Hyundai,2016,27000,Petrol,380000
662, Hyundai Verna Fluidic,Hyundai,2011,43000,Diesel,365000
663, Ford EcoSport Trend,Ford,2014,47000,Petrol,465000
664, Hyundai i20 Magna,Hyundai,2011,42000,Petrol,240000
665, Chevrolet Beat Diesel,Chevrolet,2016,19336,Diesel,179999
666, Tata Indica eV2,Tata,2015,60105,Diesel,140000
667, Jaguar XF 2.2,Jaguar,2013,29000,Diesel,2190000
668, Audi Q5 2.0,Audi,2014,34000,Diesel,2390000
669, BMW 3 Series,BMW,2011,35000,Diesel,1075000
670, Maruti Suzuki Swift,Maruti,2015,22000,Petrol,475000
671, BMW X1 sDrive20d,BMW,2012,41000,Diesel,1025000
672, Maruti Suzuki S,Maruti,2016,21000,Diesel,615000
673, Maruti Suzuki Ertiga,Maruti,2013,48000,Diesel,475000
674, Maruti Suzuki Alto,Maruti,2016,38000,Petrol,270000
675, Honda City SV,Honda,2014,34000,Diesel,475000
676, Volkswagen Vento Comfortline,Volkswagen,2011,45933,Petrol,240000
677, Honda City 1.5,Honda,2005,68000,Petrol,120000
678, Audi A4 2.0,Audi,2016,44000,Diesel,1900000
679, Mahindra KUV100,Mahindra,2017,35000,Diesel,360000
680, Tata Zest XE,Tata,2018,102563,Diesel,450000
681, Mahindra XUV500 W8,Mahindra,2015,28600,Diesel,900000
682, Maruti Suzuki Swift,Maruti,2017,41800,Diesel,650000
683, Tata Sumo Gold,Tata,2014,116000,Diesel,275000
684, Maruti Suzuki Swift,Maruti,2009,59000,Petrol,210000
685, Mahindra Scorpio 2.6,Mahindra,2004,58000,Diesel,175000
686, Maruti Suzuki Omni,Maruti,2009,45000,Petrol,85000
687, Mitsubishi Pajero Sport,Mitsubishi,2015,42590,Diesel,1490000
688, Renault Duster,Renault,2014,7400,Diesel,800000
689, Volkswagen Jetta Comfortline,Volkswagen,2009,54500,Diesel,450000
690, Maruti Suzuki Ertiga,Maruti,2012,200000,Diesel,1000000
691, Audi A4 2.0,Audi,2013,27000,Diesel,1510000
692, Volvo S80 Summum,Volvo,2015,42000,Diesel,1850000
693, Toyota Corolla Altis,Toyota,2014,29000,Petrol,790000
694, Mitsubishi Pajero Sport,Mitsubishi,2015,37000,Diesel,1725000
695, Chevrolet Beat LT,Chevrolet,2012,36000,Petrol,135000
696, BMW X1,BMW,2011,34000,Diesel,1000000
697, Datsun Redi GO,Datsun,2018,7000,Petrol,299999
698, Mercedes Benz C,Mercedes,2009,76000,Diesel,1225000
699, Mahindra Scorpio SLX,Mahindra,2004,60000,Diesel,175000
700, Volkswagen Vento Comfortline,Volkswagen,2011,95000,Diesel,200000
701, Tata Indigo CS,Tata,2017,50000,Diesel,270000
702, Ford Figo Petrol,Ford,2019,0,Petrol,525000
703, Honda City ZX,Honda,2006,50000,Petrol,180000
704, Maruti Suzuki Wagon,Maruti,2008,68000,Petrol,140000
705, Ford EcoSport Trend,Ford,2014,16000,Petrol,400000
706, Maruti Suzuki Swift,Maruti,2016,51000,Diesel,499000
707, Maruti Suzuki Omni,Maruti,2009,56000,Petrol,85000
708, Maruti Suzuki Zen,Maruti,2004,100000,Petrol,70000
709, Renault Duster RxL,Renault,2015,36000,Petrol,550000
710, Maruti Suzuki Swift,Maruti,2014,11523,Petrol,370000
711, Maruti Suzuki Baleno,Maruti,2018,1000,Petrol,690000
712, Honda WR V,Honda,2009,60000,Petrol,250000
713, Tata Indigo CS,Tata,2016,85000,Diesel,110000
714, Renault Duster 110,Renault,2013,38600,Diesel,490000
715, Mahindra Scorpio LX,Mahindra,2009,95500,Diesel,320000
716, Maruti Suzuki Zen,Maruti,2004,56000,Petrol,68000
717, Maruti Suzuki Wagon,Maruti,2014,37458,Petrol,130000
718, Maruti Suzuki SX4,Maruti,2016,85960,Diesel,970000
719, Audi A3 Cabriolet,Audi,2015,12516,Petrol,3100000
720, Hyundai Eon D,Hyundai,2018,35000,Petrol,280000
721, Maruti Suzuki Zen,Maruti,2009,0,Petrol,125000
722, Mahindra Scorpio SLX,Mahindra,2008,80000,Diesel,285000
724, Hyundai Santro AE,Hyundai,2011,45000,Petrol,165000
726, Maruti Suzuki Swift,Maruti,2009,51000,Diesel,250000
727, Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,865000
729, Mahindra Xylo D2,Mahindra,2011,48000,Diesel,390000
730, Hyundai Santro,Hyundai,2003,51000,Petrol,60000
731, Chevrolet Beat LT,Chevrolet,2015,90000,Diesel,215000
732, Maruti Suzuki Swift,Maruti,2015,43000,Diesel,475000
733, Mahindra XUV500 W8,Mahindra,2015,53000,Diesel,899000
734, Toyota Fortuner 3.0,Toyota,2013,97000,Diesel,1499000
735, Maruti Suzuki Alto,Maruti,2013,20000,Petrol,240000
736, Hyundai Getz GLE,Hyundai,2007,55000,Petrol,99000
737, Maruti Suzuki Swift,Maruti,2014,120000,Diesel,260000
738, Hyundai Creta 1.6,Hyundai,2019,0,Petrol,1200000
739, Hyundai Santro Xing,Hyundai,2007,46000,Petrol,115000
740, Hyundai Santro Xing,Hyundai,2009,43200,Petrol,88000
741, Mahindra Xylo D2,Mahindra,2011,56000,Diesel,390000
742, Hyundai Santro Xing,Hyundai,2007,42000,Petrol,135000
743, Tata Indica V2,Tata,2009,30600,Diesel,90000
744, Hyundai i10 Sportz,Hyundai,2011,38000,Petrol,220000
745, Hyundai Grand i10,Hyundai,2017,2550,Petrol,424999
746, Hyundai Santro Xing,Hyundai,2007,47000,Petrol,135000
747, Honda City 1.5,Honda,2005,41000,Petrol,95000
748, Nissan Micra XL,Nissan,2017,62500,Diesel,430000
749, Honda City 1.5,Honda,2005,68000,Petrol,115000
750, Maruti Suzuki Alto,Maruti,2015,50000,Petrol,215000
751, Maruti Suzuki Wagon,Maruti,2004,69000,Petrol,53000
752, Maruti Suzuki Ertiga,Maruti,2012,48000,Diesel,500000
753, Tata Indica eV2,Tata,2012,55000,Diesel,85000
754, Maruti Suzuki Omni,Maruti,2013,25000,Petrol,165000
755, Hyundai Eon Era,Hyundai,2014,28400,Petrol,200000
756, Hyundai Eon,Hyundai,2014,28000,Petrol,200000
757, Maruti Suzuki Swift,Maruti,2015,42000,Diesel,425000
759, Hyundai Verna 1.6,Hyundai,2012,29000,Diesel,600000
760, Chevrolet Tavera LS,Chevrolet,2005,68485,Diesel,130000
761, Tata Tiago Revotron,Tata,2018,3500,Petrol,430000
762, Tata Tiago Revotorq,Tata,2019,0,Petrol,568500
765, Maruti Suzuki Zen,Maruti,2006,32000,Petrol,71000
766, Mahindra KUV100 K8,Mahindra,2018,8000,Diesel,560000
767, Ford EcoSport Titanium,Ford,2014,34000,Diesel,590000
768, Hindustan Motors Ambassador,Hindustan,1995,37000,Petrol,750000
769, Ford Fusion 1.4,Ford,2007,85455,Diesel,125000
770, Hyundai Santro Xing,Hyundai,2007,46000,Petrol,135000
771, Hyundai Santro,Hyundai,2002,47000,Petrol,60000
772, Fiat Linea Emotion,Fiat,2009,64000,Petrol,120000
773, Ford Ikon 1.3,Ford,2008,46000,Petrol,95000
774, Maruti Suzuki Omni,Maruti,2017,8000,Petrol,240000
775, Tata Indica V2,Tata,2012,64000,Diesel,115000
776, Mahindra Scorpio S4,Mahindra,2015,63000,Diesel,795000
777, Hyundai Santro Xing,Hyundai,2007,65000,Petrol,55000
778, Mahindra Xylo D2,Mahindra,2009,62000,Diesel,300000
779, Hyundai Grand i10,Hyundai,2014,41000,Petrol,320000
780, Maruti Suzuki Alto,Maruti,2015,14000,Petrol,265000
781, Toyota Corolla,Toyota,2006,40000,Petrol,160000
782, Hyundai Eon Magna,Hyundai,2017,1600,Petrol,300000
783, Tata Sumo Grande,Tata,2010,90000,Diesel,130000
784, Maruti Suzuki Swift,Maruti,2011,58000,Diesel,250000
785, Volkswagen Polo Highline1.2L,Volkswagen,2013,27000,Petrol,380000
786, Maruti Suzuki Alto,Maruti,2003,60000,Petrol,42000
787, Tata Tiago Revotron,Tata,2017,31000,Petrol,400000
788, Maruti Suzuki Swift,Maruti,2009,90000,Diesel,120000
789, Maruti Suzuki Swift,Maruti,2009,90000,Diesel,120000
790, Tata Indigo eCS,Tata,2016,150000,Diesel,130000
791, Chevrolet Beat LS,Chevrolet,2014,31000,Diesel,189000
793, Mahindra Xylo E8,Mahindra,2011,43000,Diesel,365000
794, Hyundai Eon D,Hyundai,2013,20000,Petrol,170000
804, Tata Sumo Gold,Tata,2013,100000,Petrol,215000
813, Tata Nano,Tata,2013,7000,Petrol,60000
814, Hyundai Elite i20,Hyundai,2017,31000,Petrol,599999
815, Hyundai i10 Magna,Hyundai,2009,33000,Petrol,400000
816, Hyundai Creta,Hyundai,2016,60000,Diesel,900000
817, Volkswagen Polo,Volkswagen,2013,48000,Diesel,299999
818, Maruti Suzuki Dzire,Maruti,2014,33000,Petrol,374999
819, Tata Bolt XM,Tata,2015,15000,Petrol,600000
820, Maruti Suzuki Alto,Maruti,2005,47000,Petrol,70000
821, Maruti Suzuki Alto,Maruti,2005,40000,Petrol,100000
823, Maruti Suzuki Ritz,Maruti,2010,38000,Diesel,150000
824, Maruti Suzuki Alto,Maruti,2017,12500,Petrol,225000
825, Maruti Suzuki Dzire,Maruti,2009,42000,Petrol,210000
827, Hyundai i20 Asta,Hyundai,2014,31000,Petrol,425000
828, Maruti Suzuki Swift,Maruti,2008,60000,Diesel,162000
829, Tata Indica V2,Tata,2005,80000,Diesel,60000
830, Mahindra Scorpio VLX,Mahindra,2014,77000,Diesel,650000
831, Toyota Innova 2.5,Toyota,2012,75000,Diesel,750000
832, Mahindra Xylo E8,Mahindra,2010,40000,Diesel,375000
833, Hyundai i20 Magna,Hyundai,2011,47000,Petrol,230000
834, Maruti Suzuki Omni,Maruti,2000,60000,Petrol,35999
835, Mahindra KUV100,Mahindra,2016,26500,Petrol,380000
836, Mahindra KUV100 K8,Mahindra,2019,2875,Petrol,560000
837, Datsun Go Plus,Datsun,2016,13900,Petrol,285000
838, Ford Endeavor 4x4,Ford,2019,9000,Diesel,2900000
839, Tata Indica V2,Tata,2005,80000,Diesel,39999
840, Hyundai Santro Xing,Hyundai,2006,60000,Petrol,85000
841, Maruti Suzuki Wagon,Maruti,2016,20000,Petrol,395000
842, Maruti Suzuki Swift,Maruti,2008,58000,Diesel,175000
843, Maruti Suzuki Alto,Maruti,2019,1500,Petrol,400000
844, Toyota Innova 2.5,Toyota,2011,75000,Diesel,750000
846, Maruti Suzuki Alto,Maruti,2016,2450,Petrol,250000
847, Maruti Suzuki Alto,Maruti,2019,1625,Petrol,425000
849, Volkswagen Polo Highline1.2L,Volkswagen,2017,45000,Petrol,525000
850, Mahindra Logan,Mahindra,2009,65000,Diesel,130000
851, Maruti Suzuki 800,Maruti,2000,33400,Petrol,30000
852, Mahindra Scorpio,Mahindra,2011,60123,Diesel,475000
853, Chevrolet Sail 1.2,Chevrolet,2013,28000,Petrol,300000
855, Hyundai Santro AE,Hyundai,2003,70000,Petrol,60000
856, Maruti Suzuki Wagon,Maruti,2006,7000,Petrol,100000
857, Hyundai Eon,Hyundai,2018,25000,Petrol,260000
858, Tata Manza,Tata,2015,100000,Diesel,100000
860, Toyota Etios G,Toyota,2013,42000,Petrol,265000
861, Hyundai Getz Prime,Hyundai,2009,20000,Petrol,115000
862, Toyota Qualis,Toyota,2003,100000,Diesel,180000
863, Hyundai Santro Xing,Hyundai,2004,137495,Petrol,45000
864, Tata Indica eV2,Tata,2016,91200,Diesel,50500
865, Honda City 1.5,Honda,2009,55000,Petrol,270000
866, Tata Zest XE,Tata,2017,120000,Diesel,290000
867, Mahindra Quanto C4,Mahindra,2013,63000,Diesel,325000
868, Tata Indigo eCS,Tata,2016,104000,Diesel,160000
869, Maruti Suzuki Swift,Maruti,2016,146000,Diesel,350000
870, Hyundai Elite i20,Hyundai,2011,40000,Petrol,290000
871, Hyundai i20 Select,Hyundai,2011,40000,Petrol,290000
872, Chevrolet Tavera Neo,Chevrolet,2007,100800,Diesel,465000
873, Maruti Suzuki Dzire,Maruti,2016,150000,Diesel,325000
874, Hyundai Elite i20,Hyundai,2018,2100,Petrol,510000
875, Honda City VX,Honda,2016,95000,Petrol,860000
876, Maruti Suzuki Dzire,Maruti,2016,2500,Diesel,450000
877, Hyundai Getz,Hyundai,2006,80000,Petrol,125000
878, Mercedes Benz C,Mercedes,2006,15000,Petrol,500001
879, Maruti Suzuki Alto,Maruti,2005,65000,Petrol,95000
880, Maruti Suzuki Swift,Maruti,2009,51000,Diesel,250000
881, Skoda Fabia,Skoda,2009,45000,Petrol,110000
883, Maruti Suzuki Ritz,Maruti,2011,50000,Petrol,270000
885, Tata Indica V2,Tata,2009,30000,Diesel,110000
886, Toyota Corolla Altis,Toyota,2009,132000,Petrol,300000
888, Tata Zest XM,Tata,2018,27000,Diesel,260000
889, Mahindra Quanto C8,Mahindra,2013,40000,Diesel,390000
